Date,AAPL,MSFT,DB,YHOO,GLD
1/19/2017,119.779999,62.299999,18.879999,42.09,114.769997
1/18/2017,119.989998,62.5,18.74,42.029999,114.870003
1/17/2017,120,62.529999,18.559999,41.990002,115.849998
1/13/2017,119.040001,62.700001,19.18,42.27,114.209999
1/12/2017,119.25,62.610001,18.719999,42.110001,113.910004
1/11/2017,119.75,63.189999,19.129999,42.59,113.5
1/10/2017,119.110001,62.619999,18.67,42.299999,113.150002
1/9/2017,118.989998,62.639999,19.049999,41.34,112.669998
1/6/2017,117.910004,62.84,19.27,41.23,111.75
1/5/2017,116.610001,62.299999,19.26,41.34,112.580002
1/4/2017,116.019997,62.299999,19.57,40.060001,110.860001
1/3/2017,116.150002,62.580002,18.43,38.900002,110.470001
12/30/2016,115.82,62.139999,18.1,38.669998,109.610001
12/29/2016,116.730003,62.900002,17.82,38.639999,110.290001
12/28/2016,116.760002,62.990002,17.92,38.73,108.860001
12/27/2016,117.260002,63.279999,18.370001,38.919998,108.559998
12/23/2016,116.519997,63.240002,18.629999,38.66,107.93
12/22/2016,116.290001,63.549999,18.540001,38.5,107.589996
12/21/2016,117.059998,63.540001,18.709999,39.150002,107.849998
12/20/2016,116.949997,63.540001,19.01,39.16,107.790001
12/19/2016,116.639999,63.619999,18.26,38.419998,108.589996
12/16/2016,115.970001,62.299999,19.01,38.610001,108.050003
12/15/2016,115.82,62.580002,18.940001,38.41,107.339996
12/14/2016,115.190002,62.68,18.67,40.91,108.830002
12/13/2016,115.190002,62.98,18.66,41.470001,110.449997
12/12/2016,113.300003,62.169998,18.309999,41.299999,110.82
12/9/2016,113.949997,61.970001,18.280001,41.759998,110.400002
12/8/2016,112.120003,61.009998,19.040001,41.41,111.57
12/7/2016,111.029999,61.369999,18.67,40.52,111.830002
12/6/2016,109.949997,59.950001,18.290001,39.970001,111.43
12/5/2016,109.110001,60.220001,16.66,40.200001,111.540001
12/2/2016,109.900002,59.25,15.74,40.07,112.139999
12/1/2016,109.489998,59.200001,16.059999,39.630001,111.540001
11/30/2016,110.519997,60.259998,15.8,41.02,111.75
11/29/2016,111.459999,61.09,15.54,41.599998,113.269997
11/28/2016,111.57,60.610001,15.11,41.450001,113.800003
11/25/2016,111.790001,60.529999,15.75,40.869999,112.610001
11/23/2016,111.230003,60.400002,15.79,40.959999,113.25
11/22/2016,111.800003,61.119999,15.92,41.009998,115.540001
11/21/2016,111.730003,60.860001,16.030001,41.110001,115.580002
11/18/2016,110.059998,60.349998,15.91,41.189999,115.150002
11/17/2016,109.949997,60.639999,16.09,41.450001,116.169998
11/16/2016,109.989998,59.650002,16.07,40.98,116.769997
11/15/2016,107.110001,58.869999,16.549999,40.209999,117.120003
11/14/2016,105.709999,57.73,16.639999,39.299999,116.110001
11/11/2016,108.43,58.623963,16.190001,40.419998,117.099998
11/10/2016,107.790001,58.30611,15.73,40.16,119.75
11/9/2016,110.879997,59.766244,14.76,41.209999,121.559998
11/8/2016,111.059998,60.064234,14.24,41.16,121.639999
11/7/2016,110.410004,60.014566,14.22,41.049999,122.150002
11/4/2016,108.839996,58.316041,13.45,40.279999,124.389999
11/3/2016,109.830002,58.812686,13.57,40.23,124.300003
11/2/2016,111.019995,59.031211,13.6,40.68,123.639999
11/1/2016,110.920507,59.398727,13.93,41.330002,122.730003
10/31/2016,112.960039,59.517921,14.39,41.549999,121.940002
10/28/2016,113.13912,59.468257,14.62,41.779999,121.580002
10/27/2016,113.89524,59.696714,14.49,41.869999,121.010002
10/26/2016,114.999563,60.22316,14.56,42.080002,120.790001
10/25/2016,117.645979,60.580745,14.27,42.549999,121.470001
10/24/2016,117.049045,60.590676,14.48,42.59,120.559998
10/21/2016,116.004406,59.259667,14.31,42.169998,120.830002
10/20/2016,116.462055,56.865839,14.37,42.380001,120.739998
10/19/2016,116.521754,57.143959,13.86,42.73,121.110001
10/18/2016,116.869965,57.273088,13.72,41.68,120.419998
10/17/2016,116.949558,56.836042,13.39,41.790001,119.68
10/14/2016,117.029143,57.034697,13.43,41.439999,119.360001
10/13/2016,116.38247,56.538052,13.36,41.619999,120.029999
10/12/2016,116.740624,56.726779,13.6,42.360001,119.739998
10/11/2016,115.705943,56.806241,13.62,42.68,119.550003
10/10/2016,115.45722,57.650539,13.9,43.919998,120.160004
10/7/2016,113.477379,57.412148,13.64,43.220001,119.739998
10/6/2016,113.308249,57.352553,13.53,43.68,119.660004
10/5/2016,112.472544,57.253222,13.59,43.709999,120.779999
10/4/2016,112.422796,56.855908,13.33,43.18,120.970001
10/3/2016,111.945245,57.034697,12.98,43.130001,125.32
9/30/2016,112.472544,57.213489,13.09,43.099998,125.639999
9/29/2016,111.606985,57.014834,11.48,42.57,126.07
9/28/2016,113.36794,57.640604,12.3,43.689999,126.220001
9/27/2016,112.512333,57.561143,11.92,43.369999,126.620003
9/26/2016,112.303406,56.518189,11.85,42.290001,127.550003
9/23/2016,112.134277,57.044632,12.75,42.799999,127.650002
9/22/2016,114.034524,57.432014,13,44.150002,127.57
9/21/2016,112.96999,57.372415,12.68,44.139999,127.269997
9/20/2016,112.989884,56.428793,12.42,42.790001,125.440002
9/19/2016,112.999835,56.547987,12.97,43.189999,125.32
9/16/2016,114.332987,56.865839,13.38,43.669998,125.059998
9/15/2016,114.979668,56.806241,14.76,43.990002,125.370003
9/14/2016,111.199076,55.882481,14.52,43.459999,126.18
9/13/2016,107.398588,56.150669,14.59,43.040001,125.75
9/12/2016,104.901415,56.667181,15.11,43.459999,126.589996
9/9/2016,102.603209,55.832817,15.26,42.919998,126.75
9/8/2016,104.981001,57.044632,14.79,44.360001,127.589996
9/7/2016,107.806498,57.273088,14.54,44.349998,128.270004
9/6/2016,107.149865,57.223424,14.46,44.709999,128.710007
9/2/2016,107.179719,57.283019,14.9,43.279999,126.57
9/1/2016,106.184827,57.203558,14.69,42.93,125.290001
8/31/2016,105.55804,57.074429,14.75,42.75,124.779999
8/30/2016,105.458552,57.501544,14.39,42.580002,125.029999
8/29/2016,106.274363,57.710134,13.92,42.259998,126.300003
8/26/2016,106.393753,57.640604,13.98,42.27,126.050003
8/25/2016,107.020532,57.779664,14.02,42.029999,126.230003
8/24/2016,107.478182,57.561143,14.19,41.91,126.339996
8/23/2016,108.293993,57.501544,14,42.599998,127.760002
8/22/2016,107.955733,57.283019,13.51,42.52,127.779999
8/19/2016,108.80139,57.233355,13.55,43.02,127.970001
8/18/2016,108.522821,57.213489,13.97,42.900002,129.110001
8/17/2016,108.662106,57.17376,13.97,42.700001,128.5
8/16/2016,108.821284,57.054563,14.23,42.490002,128.470001
8/15/2016,108.92078,57.372413,14.35,42.669998,127.839996
8/12/2016,107.627417,57.194728,14.25,42.939999,127.400002
8/11/2016,107.378694,57.550098,14.23,41.27,127.669998
8/10/2016,107.448336,57.273701,14.22,39.93,128.559998
8/9/2016,108.254196,57.451386,13.73,39.240002,127.959999
8/8/2016,107.816449,57.313187,13.47,39.240002,127.440002
8/5/2016,106.930996,57.214471,13.15,38.990002,127.550003
8/4/2016,105.329219,56.651803,12.7,38.919998,129.869995
8/3/2016,104.68254,56.237207,12.69,38.389999,129.649994
8/2/2016,103.386256,55.852224,12.58,38.57,130.270004
8/1/2016,104.93982,55.852224,13.07,38.799999,129.220001
7/29/2016,103.119078,55.950937,13.44,38.189999,128.979996
7/28/2016,103.247715,55.486981,13.25,38.52,127.660004
7/27/2016,101.872267,55.467238,13.63,38.66,128.029999
7/26/2016,95.65801,56.029906,14.18,38.759998,126
7/25/2016,96.320994,56.000293,14.4,38.32,125.470001
7/22/2016,97.627183,55.842351,14.35,39.380001,126.349998
7/21/2016,98.389119,55.082255,14.44,38.849998,127.300003
7/20/2016,98.91357,55.190841,14.3,38.900002,125.389999
7/19/2016,98.824515,52.407114,14.01,38.169998,127.209999
7/18/2016,98.784933,53.265922,14.54,37.950001,127.040001
7/15/2016,97.745922,53.009268,14.43,37.720001,126.839996
7/14/2016,97.755819,53.048755,14.54,37.959999,127.330002
7/13/2016,95.855921,52.82171,13.95,37.639999,128.320007
7/12/2016,96.400159,52.525569,14.1,37.889999,127.150002
7/11/2016,95.96477,51.913545,13.3,37.959999,129.289993
7/8/2016,95.667907,51.627275,12.97,37.740002,130.520004
7/7/2016,94.935656,50.71911,12.6,37.52,129.740005
7/6/2016,94.529945,50.71911,12.97,37.509998,130.229996
7/5/2016,93.995597,50.511809,13.4,37.5,129.470001
7/1/2016,94.886177,50.501939,13.91,37.990002,128.410004
6/30/2016,94.599212,50.511809,13.73,37.560001,126.470001
6/29/2016,93.411777,49.889915,14.09,36.860001,125.839996
6/28/2016,92.610251,48.804062,14.17,36.040001,125.32
6/27/2016,91.076482,47.807055,13.87,35.220001,126.68
6/24/2016,92.422245,49.189048,14.72,36.240002,126
6/23/2016,95.093977,51.242292,17.84,37.779999,120.110001
6/22/2016,94.549739,50.334127,16.870001,37.360001,120.900002
6/21/2016,94.905971,50.531552,16.809999,37.400002,120.839996
